pred_225.pdb pLDDT:78.31 pTMscore:0.8126
pred_226.pdb pLDDT:78.28 pTMscore:0.8044
pred_227.pdb pLDDT:78.26 pTMscore:0.8131
pred_228.pdb pLDDT:78.25 pTMscore:0.8115
pred_229.pdb pLDDT:78.25 pTMscore:0.8157
pred_230.pdb pLDDT:78.23 pTMscore:0.7993
pred_231.pdb pLDDT:78.20 pTMscore:0.8097
pred_232.pdb pLDDT:78.19 pTMscore:0.8139
pred_233.pdb pLDDT:78.19 pTMscore:0.8116
pred_234.pdb pLDDT:78.10 pTMscore:0.8077
pred_235.pdb pLDDT:78.01 pTMscore:0.8187
pred_236.pdb pLDDT:78.01 pTMscore:0.8137
pred_237.pdb pLDDT:77.99 pTMscore:0.8119
pred_238.pdb pLDDT:77.98 pTMscore:0.8045
pred_239.pdb pLDDT:77.97 pTMscore:0.8077
pred_240.pdb pLDDT:77.94 pTMscore:0.8007
pred_241.pdb pLDDT:77.89 pTMscore:0.7980
pred_242.pdb pLDDT:77.88 pTMscore:0.8018
pred_243.pdb pLDDT:77.86 pTMscore:0.8217
pred_244.pdb pLDDT:77.83 pTMscore:0.7951
pred_245.pdb pLDDT:77.71 pTMscore:0.8033
pred_246.pdb pLDDT:77.71 pTMscore:0.8090
pred_247.pdb pLDDT:77.65 pTMscore:0.7996
pred_248.pdb pLDDT:77.62 pTMscore:0.8032
pred_249.pdb pLDDT:77.61 pTMscore:0.7958
pred_250.pdb pLDDT:77.60 pTMscore:0.8045
pred_251.pdb pLDDT:77.52 pTMscore:0.8092
pred_252.pdb pLDDT:77.51 pTMscore:0.7922
pred_253.pdb pLDDT:77.45 pTMscore:0.8067
pred_254.pdb pLDDT:77.44 pTMscore:0.7909
pred_255.pdb pLDDT:77.40 pTMscore:0.7932
pred_256.pdb pLDDT:77.37 pTMscore:0.8040
pred_257.pdb pLDDT:77.37 pTMscore:0.8024
pred_258.pdb pLDDT:77.32 pTMscore:0.7904
pred_259.pdb pLDDT:77.31 pTMscore:0.8026
pred_260.pdb pLDDT:77.30 pTMscore:0.8098
pred_261.pdb pLDDT:77.26 pTMscore:0.8014
pred_262.pdb pLDDT:77.22 pTMscore:0.7944
pred_263.pdb pLDDT:77.21 pTMscore:0.8175
pred_264.pdb pLDDT:77.21 pTMscore:0.7944
pred_265.pdb pLDDT:77.19 pTMscore:0.8118
pred_266.pdb pLDDT:77.18 pTMscore:0.8085
pred_267.pdb pLDDT:77.04 pTMscore:0.7958
pred_268.pdb pLDDT:77.03 pTMscore:0.8082
pred_269.pdb pLDDT:77.02 pTMscore:0.7977
pred_270.pdb pLDDT:77.02 pTMscore:0.8081
pred_271.pdb pLDDT:77.00 pTMscore:0.7926
pred_272.pdb pLDDT:76.96 pTMscore:0.8016
pred_273.pdb pLDDT:76.90 pTMscore:0.7985
pred_274.pdb pLDDT:76.87 pTMscore:0.7886
pred_275.pdb pLDDT:76.85 pTMscore:0.7986
pred_276.pdb pLDDT:76.82 pTMscore:0.8068
pred_277.pdb pLDDT:76.80 pTMscore:0.7932
pred_278.pdb pLDDT:76.79 pTMscore:0.7931
pred_279.pdb pLDDT:76.79 pTMscore:0.7844
pred_280.pdb pLDDT:76.75 pTMscore:0.7736
pred_281.pdb pLDDT:76.71 pTMscore:0.8014
pred_282.pdb pLDDT:76.62 pTMscore:0.8016
pred_283.pdb pLDDT:76.61 pTMscore:0.7929
pred_284.pdb pLDDT:76.56 pTMscore:0.7883
pred_285.pdb pLDDT:76.43 pTMscore:0.7980
pred_286.pdb pLDDT:76.41 pTMscore:0.7777
pred_287.pdb pLDDT:76.38 pTMscore:0.7997
pred_288.pdb pLDDT:76.36 pTMscore:0.7977
pred_289.pdb pLDDT:76.33 pTMscore:0.7911
pred_290.pdb pLDDT:76.33 pTMscore:0.7876
pred_291.pdb pLDDT:76.30 pTMscore:0.7964
pred_292.pdb pLDDT:76.28 pTMscore:0.7953
pred_293.pdb pLDDT:76.28 pTMscore:0.7902
pred_294.pdb pLDDT:76.27 pTMscore:0.7978
pred_295.pdb pLDDT:76.21 pTMscore:0.7812
pred_296.pdb pLDDT:76.20 pTMscore:0.7956
pred_297.pdb pLDDT:76.19 pTMscore:0.7967
pred_298.pdb pLDDT:76.19 pTMscore:0.7699
pred_299.pdb pLDDT:76.13 pTMscore:0.7941
pred_300.pdb pLDDT:76.10 pTMscore:0.7975
pred_301.pdb pLDDT:76.09 pTMscore:0.7868
pred_302.pdb pLDDT:76.05 pTMscore:0.7950
pred_303.pdb pLDDT:75.91 pTMscore:0.7998
pred_304.pdb pLDDT:75.91 pTMscore:0.7933
pred_305.pdb pLDDT:75.84 pTMscore:0.7792
pred_306.pdb pLDDT:75.82 pTMscore:0.7798
pred_307.pdb pLDDT:75.77 pTMscore:0.7697
pred_308.pdb pLDDT:75.74 pTMscore:0.7852
pred_309.pdb pLDDT:75.74 pTMscore:0.7873
pred_310.pdb pLDDT:75.73 pTMscore:0.7896
pred_311.pdb pLDDT:75.69 pTMscore:0.7830
pred_312.pdb pLDDT:75.65 pTMscore:0.7838
pred_313.pdb pLDDT:75.64 pTMscore:0.7661
pred_314.pdb pLDDT:75.63 pTMscore:0.7829
pred_315.pdb pLDDT:75.52 pTMscore:0.7713
pred_316.pdb pLDDT:75.49 pTMscore:0.7735
pred_317.pdb pLDDT:75.46 pTMscore:0.7813
pred_318.pdb pLDDT:75.40 pTMscore:0.7865
pred_319.pdb pLDDT:75.38 pTMscore:0.7884
pred_320.pdb pLDDT:75.37 pTMscore:0.7764
pred_321.pdb pLDDT:75.36 pTMscore:0.7854
pred_322.pdb pLDDT:75.23 pTMscore:0.7715
pred_323.pdb pLDDT:75.22 pTMscore:0.7723
pred_324.pdb pLDDT:75.22 pTMscore:0.7843
pred_325.pdb pLDDT:75.19 pTMscore:0.7811
pred_326.pdb pLDDT:75.16 pTMscore:0.7796
pred_327.pdb pLDDT:75.09 pTMscore:0.7723
pred_328.pdb pLDDT:75.02 pTMscore:0.7783
pred_329.pdb pLDDT:74.99 pTMscore:0.7791
pred_330.pdb pLDDT:74.99 pTMscore:0.7817
pred_331.pdb pLDDT:74.98 pTMscore:0.7740
pred_332.pdb pLDDT:74.93 pTMscore:0.7816
pred_333.pdb pLDDT:74.88 pTMscore:0.7740
pred_334.pdb pLDDT:74.84 pTMscore:0.7836
pred_335.pdb pLDDT:74.81 pTMscore:0.7422
pred_336.pdb pLDDT:74.67 pTMscore:0.7737
pred_337.pdb pLDDT:74.60 pTMscore:0.7904
pred_338.pdb pLDDT:74.55 pTMscore:0.7617
pred_339.pdb pLDDT:74.55 pTMscore:0.7675
pred_340.pdb pLDDT:74.37 pTMscore:0.7704
pred_341.pdb pLDDT:74.35 pTMscore:0.7689
pred_342.pdb pLDDT:74.34 pTMscore:0.7573
pred_343.pdb pLDDT:74.33 pTMscore:0.7902
pred_344.pdb pLDDT:74.27 pTMscore:0.7759
pred_345.pdb pLDDT:74.23 pTMscore:0.7762
pred_346.pdb pLDDT:74.21 pTMscore:0.7702
pred_347.pdb pLDDT:74.18 pTMscore:0.7593
pred_348.pdb pLDDT:74.16 pTMscore:0.7580
pred_349.pdb pLDDT:74.16 pTMscore:0.7638
pred_350.pdb pLDDT:74.05 pTMscore:0.7454
pred_351.pdb pLDDT:74.04 pTMscore:0.7793
pred_352.pdb pLDDT:73.98 pTMscore:0.7724
pred_353.pdb pLDDT:73.96 pTMscore:0.7728
pred_354.pdb pLDDT:73.85 pTMscore:0.7694
pred_355.pdb pLDDT:73.82 pTMscore:0.7921
pred_356.pdb pLDDT:73.73 pTMscore:0.7560
pred_357.pdb pLDDT:73.66 pTMscore:0.7612
pred_358.pdb pLDDT:73.65 pTMscore:0.7597
pred_359.pdb pLDDT:73.58 pTMscore:0.7585
pred_360.pdb pLDDT:73.54 pTMscore:0.7563
pred_361.pdb pLDDT:73.42 pTMscore:0.7602
pred_362.pdb pLDDT:73.40 pTMscore:0.7516
pred_363.pdb pLDDT:73.38 pTMscore:0.7630
pred_364.pdb pLDDT:73.37 pTMscore:0.7706
pred_365.pdb pLDDT:73.35 pTMscore:0.7806
pred_366.pdb pLDDT:73.29 pTMscore:0.7412
pred_367.pdb pLDDT:73.27 pTMscore:0.7574
pred_368.pdb pLDDT:73.23 pTMscore:0.7521
pred_369.pdb pLDDT:73.22 pTMscore:0.7561
pred_370.pdb pLDDT:73.21 pTMscore:0.7473
pred_371.pdb pLDDT:73.13 pTMscore:0.7589
pred_372.pdb pLDDT:73.11 pTMscore:0.7779
pred_373.pdb pLDDT:73.10 pTMscore:0.7418
pred_374.pdb pLDDT:73.08 pTMscore:0.7591
pred_375.pdb pLDDT:73.07 pTMscore:0.7511
pred_376.pdb pLDDT:73.06 pTMscore:0.7514
pred_377.pdb pLDDT:73.02 pTMscore:0.7509
pred_378.pdb pLDDT:73.00 pTMscore:0.7514
pred_379.pdb pLDDT:72.98 pTMscore:0.7507
pred_380.pdb pLDDT:72.97 pTMscore:0.7549
pred_381.pdb pLDDT:72.95 pTMscore:0.7567
pred_382.pdb pLDDT:72.89 pTMscore:0.7451
pred_383.pdb pLDDT:72.88 pTMscore:0.7455
pred_384.pdb pLDDT:72.85 pTMscore:0.7604
pred_385.pdb pLDDT:72.77 pTMscore:0.7382
pred_386.pdb pLDDT:72.69 pTMscore:0.7464
pred_387.pdb pLDDT:72.69 pTMscore:0.7429
pred_388.pdb pLDDT:72.68 pTMscore:0.7567
pred_389.pdb pLDDT:72.60 pTMscore:0.7617
pred_390.pdb pLDDT:72.43 pTMscore:0.7381
pred_391.pdb pLDDT:72.40 pTMscore:0.7420
pred_392.pdb pLDDT:72.40 pTMscore:0.7410
pred_393.pdb pLDDT:72.39 pTMscore:0.7444
pred_394.pdb pLDDT:72.29 pTMscore:0.7438
pred_395.pdb pLDDT:72.23 pTMscore:0.7351
pred_396.pdb pLDDT:72.16 pTMscore:0.7548
pred_397.pdb pLDDT:71.92 pTMscore:0.7402
pred_398.pdb pLDDT:71.84 pTMscore:0.7315
pred_399.pdb pLDDT:71.83 pTMscore:0.7279
pred_400.pdb pLDDT:71.76 pTMscore:0.7313
pred_401.pdb pLDDT:71.55 pTMscore:0.7443
pred_402.pdb pLDDT:71.51 pTMscore:0.7326
pred_403.pdb pLDDT:71.31 pTMscore:0.7441
pred_404.pdb pLDDT:71.22 pTMscore:0.7287
pred_405.pdb pLDDT:71.05 pTMscore:0.7266
pred_406.pdb pLDDT:70.43 pTMscore:0.7223
pred_407.pdb pLDDT:70.29 pTMscore:0.7070
pred_408.pdb pLDDT:70.29 pTMscore:0.7219
